,Target Accession,Same Species,Same Genus,Same Family,Same Order,Same Class,Same Phylum,Same Kingdom,Other Kingdom
Fusarium oxysporum 1,GCA_001703125.1,GCA_001931975.2,GCA_017656605.1,GCA_021019195.1,GCA_000956045.1,GCA_020457885.1,GCA_000577715.1,GCA_038089755.1,GCA_023336035.1
Fusarium oxysporum 2,GCA_001931975.2,GCA_002233935.2,GCA_018345645.1,GCA_030370985.1,GCA_030772495.1,GCA_905105125.1,GCA_013466175.1,GCA_030407065.1,GCA_038050775.1
Fusarium oxysporum 3,GCA_002233935.2,GCA_002233955.2,GCA_030411635.1,GCA_030864175.1,GCA_030781805.1,GCA_009802715.1,GCA_027497415.1,GCA_022817875.1,
Fusarium oxysporum 4,GCA_002233955.2,GCA_002233985.2,GCA_040113875.1,GCA_013759035.1,GCA_030783165.1,GCA_020726445.1,GCA_043882685.1,GCA_004917845.1,GCA_018873755.1
Fusarium oxysporum 5,GCA_002233985.2,GCA_002233995.2,GCA_013759005.1,GCA_037954305.1,GCA_030777605.1,GCA_027744755.1,GCA_035040045.1,GCA_004026415.1,
Fusarium oxysporum 6,GCA_002233995.2,GCA_002894245.1,GCA_040114105.1,GCA_045529065.1,GCA_030778845.1,,GCA_003988865.1,GCA_025603285.1,GCA_024679215.1
Fusarium oxysporum 7,GCA_002894245.1,GCA_003025205.1,GCA_024752415.1,GCA_004380985.1,GCA_000315335.1,GCA_020458395.1,GCA_001890125.1,GCA_016584205.1,GCA_038050695.1
Fusarium oxysporum 8,GCA_003025205.1,GCA_003025235.1,GCA_023522795.1,GCA_023628695.1,GCA_022984975.1,GCA_014849305.1,GCA_019394275.1,GCA_019633555.1,GCA_038051075.1
Fusarium oxysporum 9,GCA_003025235.1,GCA_003615115.1,GCA_019054885.1,GCA_006505905.1,GCA_022287755.1,GCA_937900895.1,GCA_000531055.1,GCA_025528865.1,
Macrophomina phaseolina 0,GCA_020875535.1,,GCA_047667015.1,GCA_023089045.1,GCA_038381195.1,GCA_041146615.1,GCA_034642105.1,GCA_038093515.1,GCA_023334305.1
Macrophomina phaseolina 2,GCA_001307885.1,GCA_001307925.1,GCA_047729355.1,GCA_041380625.1,GCA_038380855.1,GCA_903819465.1,GCA_963580225.1,GCA_027577315.1,GCA_016864835.1
Macrophomina phaseolina 3,GCA_001307925.1,GCA_001307935.1,GCA_047729295.1,GCA_023085825.1,GCA_001604955.1,GCA_020580695.1,GCA_014325315.1,GCA_015178975.1,GCA_023336395.1
Macrophomina phaseolina 4,GCA_001307935.1,GCA_001307945.1,GCA_047837215.1,GCA_009829355.1,GCA_010093885.1,GCA_040583995.1,GCA_040803035.1,GCA_004114255.1,GCA_023334365.1
Macrophomina phaseolina 5,GCA_001307945.1,GCA_001307955.1,GCA_047666335.1,GCA_023079565.1,GCA_018991845.1,GCA_021365335.1,GCA_030574515.1,GCA_002222165.1,GCA_024679295.1
Macrophomina phaseolina 6,GCA_001307955.1,GCA_008729065.1,GCA_024180945.1,GCA_023087225.1,GCA_018992365.1,GCA_015251385.1,GCA_000616865.1,GCA_965199605.1,GCA_032432875.1
Macrophomina phaseolina 7,GCA_008729065.1,GCA_008729105.1,GCA_047667075.1,GCA_009829825.1,GCA_038381195.1,GCA_020736745.1,GCA_002742195.1,GCA_015847185.1,GCA_023335925.1
Macrophomina phaseolina 8,GCA_008729105.1,GCA_011634645.1,GCA_047666335.1,GCA_023087085.1,GCA_038021125.1,GCA_020571545.1,GCA_017656605.1,GCA_048164915.1,GCA_004343245.1
Macrophomina phaseolina 9,GCA_011634645.1,GCA_020744275.1,GCA_047717005.1,,GCA_038380875.1,GCA_004168565.1,GCA_003705845.3,GCA_014825675.1,GCA_000387545.2
Pyricularia oryzae 1,GCA_000734085.1,GCA_000734095.1,GCA_001548795.1,GCA_031001725.1,GCA_000145635.1,GCA_022836555.1,GCA_003272405.1,GCA_027577215.1,GCA_030279095.1
Pyricularia oryzae 2,GCA_000734095.1,GCA_000734105.1,GCA_031211305.1,GCA_031001725.1,GCA_003049425.1,GCA_022627135.1,GCA_009556855.1,GCA_038090395.1,GCA_042082885.1
Pyricularia oryzae 3,GCA_000734105.1,GCA_000734155.1,GCA_001936455.1,GCA_031306065.1,GCA_000145635.1,GCA_037954425.1,GCA_900007135.1,GCA_951802195.1,GCA_000387445.2
Pyricularia oryzae 4,GCA_000734155.1,GCA_000734165.1,GCA_047370945.1,GCA_031306065.1,GCA_003049485.1,GCA_018360375.1,GCA_022609225.1,GCA_019190125.1,GCA_014706135.1
Pyricularia oryzae 5,GCA_000734165.1,GCA_000734185.1,GCA_001936455.1,GCA_031001725.1,GCA_003049425.1,GCA_021655865.1,GCA_918268255.1,GCA_022376525.1,GCA_000387525.2
Pyricularia oryzae 6,GCA_000734185.1,GCA_000734215.1,GCA_004337975.1,GCA_031306065.1,GCA_002197995.1,GCA_043254425.1,GCA_910591815.1,GCA_038092015.1,GCA_016169935.1
Pyricularia oryzae 7,GCA_000734215.1,GCA_000734235.1,GCA_031306095.1,GCA_031306065.1,GCA_003049395.1,GCA_001703085.1,GCA_047844515.1,GCA_033735545.1,GCA_023337825.1
Pyricularia oryzae 8,GCA_000734235.1,GCA_000734245.1,GCA_024704135.1,GCA_031306065.1,GCA_003049485.1,GCA_032353905.1,GCA_001740325.1,GCA_000835745.1,GCA_024679275.1
Pyricularia oryzae 9,GCA_000734245.1,GCA_000734265.1,GCA_944952825.1,GCA_031306065.1,GCA_003049435.1,GCA_011035435.1,GCA_047717365.1,GCA_002215825.1,GCA_001933395.1
Candidozyma auris 1,GCA_001189475.1,GCA_002759435.3,GCA_003708405.2,GCA_002370515.1,GCA_030563685.1,GCA_030557325.1,GCA_013435825.1,GCA_029282125.1,GCA_000326045.1
Candidozyma auris 2,GCA_002759435.3,GCA_002775015.1,GCA_030563505.1,GCA_032599145.1,GCA_000784695.1,GCA_030565405.1,GCA_028028555.1,GCA_040437605.1,
Candidozyma auris 3,GCA_002775015.1,GCA_003013715.2,GCA_030585165.1,GCA_030566455.1,GCA_046056005.1,GCA_030062975.1,GCA_009801375.1,GCA_038091615.1,GCA_011947325.1
Candidozyma auris 4,GCA_003013715.2,GCA_003014415.1,GCA_019332025.1,GCA_003675575.1,GCA_030582595.1,GCA_023629635.1,GCA_009803275.1,GCA_041722335.1,GCA_038048945.1
Candidozyma auris 5,GCA_003014415.1,GCA_004287075.1,GCA_012184655.1,GCA_046134525.1,GCA_000784495.1,GCA_019207715.1,GCA_016109505.1,GCA_026210795.1,GCA_030278985.1
Candidozyma auris 6,GCA_004287075.1,GCA_005234155.1,GCA_019332025.1,GCA_030573315.1,GCA_049307105.1,GCA_003706035.2,,GCA_014904935.1,GCA_030027945.1
Candidozyma auris 7,GCA_005234155.1,GCA_007168705.1,GCA_030575055.1,GCA_030561985.1,GCA_030555745.1,GCA_023213015.1,GCA_949125565.1,GCA_023718595.1,GCA_014706105.1
Candidozyma auris 8,GCA_007168705.1,GCA_008275145.1,GCA_044344055.1,GCA_030556635.1,GCA_023623405.1,GCA_019381815.1,GCA_003693505.1,GCA_023091675.1,GCA_900312765.1
Candidozyma auris 9,GCA_008275145.1,GCA_008729165.1,GCA_030563505.1,GCA_037041895.1,GCA_046133385.1,GCA_030770065.1,GCA_023758005.1,GCA_003315835.1,GCA_009835175.1
Aspergillus fumigatus 0,GCA_000731615.1,GCA_001643655.1,GCA_020466005.1,GCA_023624295.1,GCA_043882585.1,GCA_022813445.1,GCA_031125485.1,GCA_019143575.1,GCA_007655245.1
Aspergillus fumigatus 1,GCA_001643655.1,GCA_001643665.1,GCA_040938365.1,GCA_019191195.1,GCA_025768105.1,GCA_001646965.1,GCA_030062975.1,GCA_023629755.1,GCA_023337755.1
Aspergillus fumigatus 2,GCA_001643665.1,GCA_001715275.2,GCA_005784425.1,GCA_001307865.1,GCA_039119965.1,GCA_000836435.1,GCA_033847395.1,GCA_900011025.1,GCA_023335995.1
Aspergillus fumigatus 3,GCA_001715275.2,GCA_002234955.1,GCA_044589465.1,GCA_023626595.1,GCA_043884365.1,GCA_022831385.1,GCA_003990535.1,GCA_000738555.1,GCA_023335935.1
Aspergillus fumigatus 4,GCA_002234955.1,GCA_002234985.1,GCA_019176375.1,GCA_025768855.1,GCA_001939245.1,GCA_022831175.1,GCA_037042455.1,GCA_900009495.1,GCA_030374185.1
Aspergillus fumigatus 5,GCA_002234985.1,,GCA_024674685.1,GCA_023626995.1,GCA_023623875.1,GCA_046865195.1,GCA_015148845.1,GCA_023748715.1,GCA_003546525.1
Aspergillus fumigatus 7,GCA_003116565.1,GCA_012656115.1,GCA_024676795.1,GCA_911174865.1,GCA_015266405.1,GCA_022830775.1,GCA_019039635.1,GCA_002222325.1,GCA_023333735.1
Aspergillus fumigatus 8,GCA_012656115.1,GCA_012656125.1,GCA_015586235.1,GCA_023065685.1,GCA_043884065.1,GCA_021030905.1,GCA_023634325.1,GCA_002995155.1,GCA_011947345.1
Aspergillus fumigatus 9,GCA_012656125.1,GCA_012656165.1,GCA_004368095.1,GCA_000584915.1,GCA_014065225.1,GCA_022832085.1,GCA_011033715.1,GCA_003615045.1,GCA_023334315.1
Aspergillus flavus 0,GCA_001576635.1,GCA_001576645.1,GCA_001715265.1,GCA_037042625.1,GCA_042258045.1,GCA_910591785.1,GCA_030462905.1,GCA_000827195.1,GCA_032161705.1
Aspergillus flavus 1,GCA_001576645.1,GCA_001576655.1,GCA_026319405.1,GCA_001773325.1,GCA_031010415.1,GCA_003206745.1,GCA_019008475.1,GCA_000696895.1,GCA_020226015.1
Aspergillus flavus 2,GCA_001576655.1,GCA_001576715.1,GCA_020503895.1,GCA_911175245.1,GCA_029606305.1,GCA_016109575.1,,GCA_000263375.1,GCA_023334415.1
Aspergillus flavus 3,GCA_001576715.1,GCA_001576725.1,GCA_027923745.1,GCA_028828025.1,GCA_023626155.1,GCA_002225475.1,GCA_030567575.1,GCA_004325075.1,GCA_001414525.1
Aspergillus flavus 4,GCA_001576725.1,GCA_001576735.1,GCA_047715705.1,,GCA_015266405.1,GCA_041260115.1,GCA_003316985.1,GCA_011763755.1,GCA_023336215.1
Aspergillus flavus 5,GCA_001576735.1,GCA_001576745.1,GCA_048773035.1,GCA_044231815.1,GCA_023626015.1,GCA_038362965.1,GCA_029703145.1,GCA_003614725.1,GCA_002025925.1
Aspergillus flavus 6,GCA_001576745.1,GCA_001576795.1,GCA_009686865.1,GCA_023624375.1,GCA_029606305.1,GCA_017310615.1,GCA_949130155.1,GCA_047665795.1,GCA_009733085.1
Aspergillus flavus 7,GCA_001576795.1,GCA_001695535.1,GCA_016748025.1,GCA_023627215.1,GCA_023626395.1,GCA_015295635.1,GCA_025767895.1,GCA_003313825.1,GCA_004137865.1
Aspergillus flavus 8,GCA_001695535.1,GCA_002217615.1,GCA_023624935.1,GCA_040333145.1,GCA_030061875.1,GCA_910592115.1,GCA_011393185.1,GCA_025602895.1,GCA_033557995.1
Aspergillus flavus 9,GCA_002217615.1,GCA_002217635.1,GCA_023620235.1,GCA_911175135.1,GCA_003116535.1,GCA_022831535.1,GCA_022813995.1,GCA_023547045.1,GCA_009733105.1
Fusarium asiaticum 0,GCA_025258505.1,GCA_001717835.1,GCA_027886225.1,GCA_021019095.1,GCA_018360385.1,GCA_021650765.1,GCA_030295885.1,GCA_014805725.1,GCA_000149735.1
Fusarium asiaticum 1,GCA_001717835.1,GCA_001717845.1,GCA_013186795.1,GCA_013406985.1,GCA_030789485.1,GCA_038382405.1,GCA_020503715.1,GCA_026258425.1,GCA_005966545.1
Fusarium asiaticum 2,GCA_001717845.1,GCA_013618305.1,GCA_013184305.1,GCA_037954315.1,GCA_030789345.1,GCA_003016325.1,GCA_000219625.1,GCA_019915075.1,
Fusarium asiaticum 3,GCA_013618305.1,GCA_017657095.1,GCA_000303195.2,GCA_014622005.1,GCA_022814615.1,GCA_001513825.2,GCA_046251955.1,GCA_041722075.1,GCA_000149755.2
Fusarium asiaticum 4,GCA_017657095.1,GCA_025427435.1,GCA_019189765.1,GCA_045529405.1,GCA_002077885.1,GCA_029876055.1,GCA_030271015.1,GCA_000149305.1,GCA_001314435.1
Fusarium asiaticum 5,GCA_025427435.1,GCA_025427455.1,GCA_025216285.1,GCA_021019075.1,GCA_030789645.1,GCA_007478085.1,GCA_026120085.1,GCA_031841975.1,GCA_013122855.1
Fusarium asiaticum 6,GCA_025427455.1,GCA_025427465.1,GCA_018345745.1,GCA_049190905.1,GCA_030772695.1,GCA_001662755.1,GCA_027569435.1,GCA_905071785.1,GCA_920618645.1
Fusarium asiaticum 7,GCA_025427465.1,GCA_025427475.1,GCA_013759005.1,GCA_030371195.1,GCA_000729855.1,GCA_030867225.1,,,GCA_020800225.1
Fusarium asiaticum 8,GCA_025427475.1,GCA_025427855.1,GCA_013618295.1,GCA_029931735.1,GCA_003056565.1,GCA_022496945.1,GCA_002057995.1,GCA_900322975.1,GCA_023335935.1
Fusarium asiaticum 9,GCA_025427855.1,GCA_025427995.1,GCA_009297485.1,GCA_001306435.1,GCA_000315335.1,GCA_009194965.1,GCA_024195175.2,GCA_022605545.1,GCA_030279045.1
Beauveria bassiana 0,GCA_001682635.1,GCA_001684195.1,GCA_030783025.1,GCA_030778025.1,GCA_043254425.1,GCA_029339225.1,GCA_001990985.1,GCA_963924285.1,GCA_042082685.1
Beauveria bassiana 1,GCA_001684195.1,GCA_001684205.1,GCA_030411475.1,GCA_030780185.1,GCA_024500265.1,GCA_022661605.1,GCA_028827255.1,GCA_038089935.1,GCA_038050945.1
Beauveria bassiana 2,GCA_001684205.1,GCA_001684215.1,GCA_030777445.1,GCA_047651725.1,GCA_013623345.1,GCA_002742205.1,GCA_003708545.1,GCA_001600735.1,GCA_024679105.1
Beauveria bassiana 3,GCA_001684215.1,GCA_001684225.1,GCA_038367545.1,GCA_030785045.1,GCA_019054865.1,GCA_026319265.1,GCA_040804115.1,GCA_043792075.1,GCA_011947335.1
Beauveria bassiana 4,GCA_001684225.1,GCA_002224115.1,GCA_030781805.1,GCA_008080495.1,GCA_011033685.1,GCA_017654855.1,GCA_035930425.1,GCA_002900275.1,GCA_019297655.1
Beauveria bassiana 5,GCA_002224115.1,GCA_002871155.1,GCA_030772575.1,GCA_030783605.1,GCA_023168115.2,GCA_003016015.1,GCA_047667915.1,GCA_000697335.1,GCA_038050695.1
Beauveria bassiana 6,GCA_002871155.1,GCA_003337105.1,GCA_032357915.1,GCA_030782625.1,GCA_020976365.1,GCA_043874435.1,GCA_003675725.1,GCA_027577575.1,GCA_003546805.1
Beauveria bassiana 7,GCA_003337105.1,GCA_010099065.1,GCA_022985055.1,GCA_001636815.1,GCA_001717905.1,GCA_009806135.1,GCA_011066735.1,GCA_024305745.1,GCA_024679025.1
Beauveria bassiana 8,GCA_010099065.1,GCA_011316055.1,GCA_030772025.1,GCA_030782625.1,GCA_014843555.1,GCA_958432465.1,GCA_003706925.2,GCA_903231485.1,GCA_001712705.2
Beauveria bassiana 9,GCA_011316055.1,GCA_012654165.1,GCA_030770595.1,GCA_001636795.1,GCA_045528805.1,GCA_014850625.1,GCA_020568765.1,GCA_028011325.1,GCA_019297675.1
Cryptococcus neoformans 0,GCA_011057475.1,GCA_011057515.1,GCA_036417295.1,GCA_000507885.2,GCA_902501295.1,GCA_040370945.1,GCA_014466165.1,GCA_000734235.1,GCA_001933335.1
Cryptococcus neoformans 1,GCA_011057515.1,GCA_011057545.1,GCA_036426225.1,GCA_036810445.1,GCA_964257445.1,GCA_019775365.1,GCA_019616945.1,GCA_020631695.1,GCA_019828595.1
Cryptococcus neoformans 2,GCA_011057545.1,GCA_011057555.1,GCA_000836455.1,GCA_036428645.1,GCA_964257735.1,GCA_021052385.1,GCA_038091495.1,GCA_026000965.1,GCA_001278165.1
Cryptococcus neoformans 3,GCA_011057555.1,GCA_011057565.1,GCA_026538315.1,GCA_035658355.1,GCA_001599695.1,GCA_001600255.1,GCA_033735155.1,GCA_000965245.1,GCA_001278145.1
Cryptococcus neoformans 4,GCA_011057565.1,GCA_020975435.1,GCA_026538395.1,GCA_000507405.3,GCA_902500895.1,GCA_028533015.1,GCA_019904355.1,GCA_949130195.1,GCA_046862035.1
Cryptococcus neoformans 5,GCA_020975435.1,GCA_020975485.1,GCA_017654825.1,GCA_036287355.1,GCA_012922625.1,GCA_014825765.1,GCA_029281495.1,GCA_003025115.1,GCA_000468175.2
Cryptococcus neoformans 6,GCA_020975485.1,GCA_020975495.1,GCA_012922885.1,GCA_036426115.1,GCA_902501175.1,GCA_025502615.1,GCA_000633125.1,GCA_026319265.1,GCA_023334195.1
Cryptococcus neoformans 7,GCA_020975495.1,GCA_020975525.1,GCA_001720205.1,GCA_000507485.3,GCA_902500905.1,GCA_030039275.1,GCA_015178925.1,GCA_035928485.1,GCA_023334975.1
Cryptococcus neoformans 8,GCA_020975525.1,GCA_020975545.1,GCA_036417295.1,GCA_000507425.3,GCA_902501145.1,GCA_024322255.1,GCA_027604835.1,GCA_030789675.1,GCA_020976625.1
Cryptococcus neoformans 9,GCA_020975545.1,GCA_020975565.1,GCA_000875795.1,GCA_000512605.3,GCA_902501345.1,GCA_024606485.1,GCA_023212695.1,GCA_041683105.1,GCA_002245735.1
Parastagonospora nodorum 0,GCA_002267005.1,GCA_002267025.1,GCA_003503205.1,GCA_030544205.1,GCA_965118065.1,GCA_000983655.1,GCA_018346485.1,GCA_000293215.1,GCA_000338795.2
Parastagonospora nodorum 1,GCA_002267025.1,GCA_002267045.1,GCA_003503195.1,GCA_028456325.1,GCA_024043165.1,GCA_014298035.1,GCA_902703835.1,GCA_043251965.1,GCA_023337915.1
Parastagonospora nodorum 2,GCA_002267045.1,GCA_003497825.1,GCA_003503205.1,GCA_000263175.2,GCA_027946495.1,GCA_040805975.1,GCA_046254265.1,GCA_033735275.1,GCA_023334245.1
Parastagonospora nodorum 3,GCA_003497825.1,GCA_003497835.1,GCA_003503195.1,GCA_028456285.1,GCA_022578395.1,GCA_023085185.1,GCA_016166215.1,GCA_040804245.1,GCA_042082275.1
Parastagonospora nodorum 4,GCA_003497835.1,GCA_003497845.1,GCA_003503205.1,GCA_028456285.1,GCA_021613345.1,GCA_030553195.1,GCA_002925425.1,GCA_000488995.1,GCA_016880175.1
Parastagonospora nodorum 5,GCA_003497845.1,GCA_003497885.1,GCA_003502015.1,GCA_030544205.1,GCA_004634305.1,GCA_047839405.1,GCA_964255665.1,GCA_040804565.1,GCA_023335675.1
Parastagonospora nodorum 6,GCA_003497885.1,GCA_003497895.1,GCA_003501935.1,GCA_028456275.1,GCA_000817285.1,GCA_023084985.1,GCA_030563885.1,GCA_902501315.1,GCA_023336395.1
Parastagonospora nodorum 7,GCA_003497895.1,GCA_003497905.1,GCA_003503195.1,GCA_021365335.1,GCA_022345075.1,GCA_037042735.1,GCA_003788595.2,,GCA_014706105.1
Parastagonospora nodorum 8,GCA_003497905.1,GCA_003497945.1,GCA_003502495.1,GCA_020744225.1,GCA_016097305.1,GCA_047842285.1,GCA_043257305.1,GCA_000633895.1,GCA_000338795.2
Parastagonospora nodorum 9,GCA_003497945.1,GCA_003497965.1,GCA_003501955.1,GCA_003503105.1,GCA_040583725.1,GCA_047716915.1,GCA_024271865.1,GCA_002583695.1,GCA_023333755.1
Botryosphaeria dothidea 0,GCA_011503125.2,GCA_001717445.1,GCA_004016305.1,GCA_047839365.1,GCA_020351975.1,GCA_023079265.1,GCA_001702655.1,GCA_005498985.1,GCA_023334215.1
Botryosphaeria dothidea 1,GCA_001717445.1,GCA_004016265.1,,GCA_047665035.1,GCA_038025025.1,GCA_002236655.2,GCA_023627195.1,GCA_003086735.1,
Botryosphaeria dothidea 2,GCA_004016265.1,GCA_011064635.1,,GCA_047840355.1,GCA_038051015.1,GCA_002975995.1,GCA_012610835.1,GCA_001939255.1,GCA_012295415.1
Botryosphaeria dothidea 3,GCA_011064635.1,GCA_013343905.1,,GCA_047839965.1,GCA_030028515.1,GCA_000611715.1,GCA_001600195.1,GCA_001481415.2,GCA_009733125.1
Botryosphaeria dothidea 4,GCA_013343905.1,GCA_015159355.1,,GCA_047841185.1,GCA_001604925.1,GCA_007113905.1,GCA_002219185.1,GCA_038091755.1,GCA_042257365.1
Botryosphaeria dothidea 5,GCA_015159355.1,GCA_021436945.2,GCA_022813555.1,GCA_047669295.1,GCA_038380855.1,GCA_012365135.1,GCA_964255255.1,GCA_022264815.1,GCA_024679275.1
Botryosphaeria dothidea 6,GCA_021436945.2,GCA_021650725.1,GCA_022813555.1,GCA_047840965.1,GCA_037962995.1,GCA_034508535.1,GCA_003184545.1,GCA_032821775.1,GCA_023337775.1
Botryosphaeria dothidea 7,GCA_021650725.1,GCA_023079565.1,GCA_022813555.1,GCA_020912385.1,GCA_018991875.1,GCA_024760935.1,GCA_011033535.1,GCA_027579075.1,GCA_027475725.1
Botryosphaeria dothidea 8,GCA_023079565.1,GCA_023079585.1,,GCA_047665195.1,GCA_030028495.1,GCA_009728675.1,GCA_918268255.1,GCA_000271565.1,GCA_001695595.3
Botryosphaeria dothidea 9,GCA_023079585.1,GCA_023079615.1,,GCA_047840875.1,GCA_030028555.1,GCA_001599595.1,GCA_001670145.1,GCA_028554645.1,GCA_003546785.1
Komagataella phaffii 0,GCA_001708085.1,GCA_023010585.1,,GCA_030580415.1,,GCA_937873065.1,GCA_024704445.1,GCA_038094275.1,
Komagataella phaffii 1,GCA_023010585.1,GCA_023010595.1,GCA_028829515.1,GCA_000187245.3,,GCA_012184645.1,GCA_026120055.1,GCA_900015495.1,GCA_001950915.1
Komagataella phaffii 2,GCA_023010595.1,GCA_023010605.1,,GCA_030563185.1,,GCA_030578755.1,GCA_009298335.1,GCA_920104245.2,GCA_006386115.1
Komagataella phaffii 3,GCA_023010605.1,GCA_023010615.1,,GCA_011074865.2,,GCA_023158955.1,GCA_018360755.1,GCA_958449925.1,GCA_038050995.1
Komagataella phaffii 4,GCA_023010615.1,GCA_023010625.1,GCA_040938455.1,GCA_003708095.3,,GCA_016859295.1,,GCA_041722215.1,GCA_003546545.1
Komagataella phaffii 5,GCA_023010625.1,GCA_023010765.1,,GCA_019206985.1,,GCA_014638895.1,GCA_002591395.1,GCA_003116915.1,GCA_009732945.1
Komagataella phaffii 6,GCA_023010765.1,GCA_023010855.1,GCA_030567575.1,GCA_037044635.1,,GCA_046134355.1,GCA_003690365.1,GCA_003268435.1,GCA_023334175.1
Komagataella phaffii 7,GCA_023010855.1,GCA_023010885.1,,GCA_040207675.1,,GCA_002109505.1,GCA_039880145.1,GCA_000738555.1,GCA_023337965.1
Komagataella phaffii 8,GCA_023010885.1,GCA_023010895.1,,GCA_019207455.1,,GCA_023373895.1,GCA_004634295.1,GCA_000950635.1,GCA_042082525.1
Komagataella phaffii 9,GCA_023010895.1,GCA_023010905.1,,GCA_019096115.1,,GCA_029618675.1,GCA_020503465.1,GCA_024722335.1,GCA_009732985.1
Fusarium graminearum 0,GCA_000599445.1,GCA_000966635.1,GCA_011034205.1,GCA_023015515.1,GCA_019843725.1,GCA_000734455.1,GCA_001700775.1,GCA_900155495.1,GCA_023334575.1
Fusarium graminearum 1,GCA_000966635.1,GCA_000966645.2,GCA_019191165.1,GCA_045529265.1,GCA_020881915.1,GCA_009804785.1,GCA_030574075.1,GCA_033735545.1,GCA_001482985.1
Fusarium graminearum 2,GCA_000966645.2,GCA_001717905.1,GCA_019054855.1,GCA_045529285.1,GCA_030782245.1,GCA_011037845.1,GCA_029703195.1,GCA_016767475.1,GCA_023334255.1
Fusarium graminearum 3,GCA_001717905.1,GCA_001717915.1,GCA_043176765.1,,GCA_011316055.1,GCA_022496045.1,GCA_046252585.1,GCA_027595785.1,GCA_032158355.1
Fusarium graminearum 4,GCA_001717915.1,GCA_002352725.1,GCA_014706235.1,GCA_014622035.1,GCA_020736895.1,GCA_042826995.1,GCA_023012875.1,GCA_027578935.1,GCA_016864715.1
Fusarium graminearum 5,GCA_002352725.1,GCA_006942295.1,GCA_025203105.1,GCA_045529405.1,GCA_030785975.1,GCA_045682685.1,GCA_022344325.1,GCA_958449925.1,GCA_016864755.1
Fusarium graminearum 6,GCA_006942295.1,GCA_012959185.1,GCA_014324765.1,GCA_017140785.1,GCA_030779465.1,GCA_026652245.1,,GCA_034770255.1,GCA_023334975.1
Fusarium graminearum 7,GCA_012959185.1,GCA_018219475.1,GCA_043255465.1,GCA_024515735.1,GCA_030781985.1,GCA_012490815.1,GCA_000149335.2,GCA_024139275.1,
Fusarium graminearum 8,GCA_018219475.1,GCA_018219485.1,GCA_009617515.1,GCA_045528965.1,GCA_026958235.1,GCA_000813685.1,GCA_009666115.1,GCA_039545275.1,GCA_023333955.1
Fusarium graminearum 9,GCA_018219485.1,GCA_018219515.1,GCA_048414715.1,GCA_023015345.1,GCA_014839745.1,GCA_009801265.1,GCA_022813265.1,GCA_027577255.1,GCA_001933415.1
Aspergillus oryzae 0,GCA_002007945.1,GCA_002214955.1,GCA_042609085.1,GCA_025768175.1,GCA_000315935.1,GCA_035928255.1,GCA_019207515.1,GCA_003724095.1,GCA_023334175.1
Aspergillus oryzae 1,GCA_002214955.1,GCA_002214965.1,GCA_012896555.1,GCA_911197195.1,GCA_002914405.1,GCA_010883455.1,GCA_030574655.1,,GCA_001278145.1
Aspergillus oryzae 2,GCA_002214965.1,GCA_004353305.1,GCA_020499225.1,GCA_015586135.1,GCA_041956765.1,GCA_022831595.1,GCA_023627795.1,GCA_011801305.2,GCA_001950815.1
Aspergillus oryzae 3,GCA_004353305.1,GCA_008032055.1,GCA_004769165.1,GCA_015585975.1,GCA_029606225.1,GCA_022830035.1,GCA_046253925.1,GCA_038089735.1,GCA_023333815.1
